Y,Base,Altura,Diametro_Externo,Inertia,DistanceC,Thickness,Sigma,Safety Factor,M/EI,Angle,Deflection,Total mass,Mass Per Section
0.9526077352,0.04,0.01,,1.7120000000000003e-09,0.005,0.001,280808.5129380841,53.417183984402115,0.018720567529205603,0.4098412551344009,0.22593368454746504,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.9708894244,0.04,0.01,,1.7120000000000003e-09,0.005,0.001,105328.64261098129,142.41140518064682,0.007021909507398752,0.4099696275016057,0.23342862185888918,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.9847788852,0.04,0.01,,1.7120000000000003e-09,0.005,0.001,30013.34798481308,499.7776325250379,0.002000889865654205,0.4099974187829598,0.23912326493517627,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.9941239417,0.04,0.01,,1.7120000000000003e-09,0.005,0.001,5247.999334112148,2858.2320699813286,0.00034986662227414324,0.4100006883063124,0.24295474453243762,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.9988222075,0.04,0.01,,1.7120000000000003e-09,0.005,0.001,265.5344626168224,56489.84260715583,1.7702297507788158e-05,0.4100007714764114,0.24488103713503886,0.054240000000000024,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.010800000000000014}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.010559999999999995}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.005760000000000001}]"
0.022360842,0.06,0.032,,6.139733333333333e-08,0.016,0.002,15942406.503648369,0.9408868100664287,0.33213346882600764,0.0,0.0,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.066944665,0.06,0.032,,6.139733333333333e-08,0.016,0.002,14406100.1137943,1.0412255837120707,0.30012708570404795,0.013380812866535105,0.0005965677924377237,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.111115751,0.06,0.032,,6.139733333333333e-08,0.016,0.002,12959491.912786659,1.1574527844876423,0.269989414849722,0.02530653852895185,0.0017143850821623695,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.154601772,0.06,0.032,,6.139733333333333e-08,0.016,0.002,11609450.355281446,1.292050832809333,0.24186354906836344,0.03582422190287324,0.003272237948139375,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.197134622,0.06,0.032,,6.139733333333333e-08,0.016,0.002,10360749.931375956,1.4477716477428704,0.21584895690366573,0.04500489320951332,0.005186424320285625,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.238452071,0.06,0.032,,6.139733333333333e-08,0.016,0.002,9216137.962995136,1.6275798018897252,0.19200287422906534,0.052937962173326136,0.007373685872545955,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
